"location","newdate","Infection_Death_Rate"
"China","2020-01",4.081632653061225
"United States","2020-01",0
"United Kingdom","2020-01",""
"Japan","2020-01",0
"United States","2020-02",1.4492753623188406
"China","2020-02",3.5748025545100703
"United Kingdom","2020-02",100
"Japan","2020-02",3.571428571428571
"United Kingdom","2020-03",12.253166280811657
"United States","2020-03",5.9259259259259265
"China","2020-03",4.018129096712883
"Japan","2020-03",3.824091778202677
"United States","2020-04",5.86825661502505
"United Kingdom","2020-04",22.967129031509405
"Japan","2020-04",2.945769449176604
"China","2020-04",5.514373960560704
"China","2020-05",5.502162706642176
"United Kingdom","2020-05",22.240392953377526
"United States","2020-05",6.1318830620742455
"Japan","2020-05",5.287520028484956
"United Kingdom","2020-06",20.478398446066606
"China","2020-06",5.491322646238237
"Japan","2020-06",5.348615090735435
"United States","2020-06",5.870578801679313
"United Kingdom","2020-07",19.749845148938565
"China","2020-07",5.45335085413929
"Japan","2020-07",5.2021577738610265
"United States","2020-07",4.8659612192973505
"United Kingdom","2020-08",18.792047525998978
"China","2020-08",5.297201606863212
"Japan","2020-08",2.8211854001562675
"United States","2020-08",3.4752606001077027
"United Kingdom","2020-09",17.077690242247204
"United States","2020-09",3.1314369067883847
"Japan","2020-09",1.9202141462148836
"China","2020-09",5.234293801552377
"China","2020-10",5.211890930255543
"United States","2020-10",2.907318323613744
"Japan","2020-10",1.8800186685494775
"United Kingdom","2020-10",12.257379078296191
"United States","2020-11",2.5685752022500377
"Japan","2020-11",1.7459909437842327
"China","2020-11",5.163129208777102
"United Kingdom","2020-11",6.05441370910797
"Japan","2020-12",1.482388495206336
"China","2020-12",5.076033640745055
"United Kingdom","2020-12",4.64506586983442
"United States","2020-12",2.037054819347404
"China","2021-01",4.945832343616066
"Japan","2021-01",1.4583696473185752
"United States","2021-01",1.7955875626211208
"United Kingdom","2021-01",3.5729814100555215
"China","2021-02",4.7753837627054905
"United Kingdom","2021-02",3.480215054522937
"Japan","2021-02",1.8161946332141792
"United States","2021-02",1.8349852811980025
"United Kingdom","2021-03",3.4907286028662754
"Japan","2021-03",1.9327528710319224
"United States","2021-03",1.8495319862858306
"China","2021-03",4.751581735249399
"United Kingdom","2021-04",3.45167110922358
"Japan","2021-04",1.9189122394011622
"United States","2021-04",1.8362852516739254
"China","2021-04",4.719330674190096
"United Kingdom","2021-05",3.417670464078294
"Japan","2021-05",1.7473915681125145
"China","2021-05",4.686972377929358
"United States","2021-05",1.7966285496445231
"China","2021-06",4.6343150153493236
"Japan","2021-06",1.8476758110848048
"United States","2021-06",1.8042967320238266
"United Kingdom","2021-06",3.3693767619726755
"United States","2021-07",1.8043300922221492
"China","2021-07",4.691807716085481
"United Kingdom","2021-07",3.143631348197836
"Japan","2021-07",1.8462781940350819
"United States","2021-08",1.7550805250053603
"China","2021-08",4.664961890811589
"United Kingdom","2021-08",2.6081401819086842
"Japan","2021-08",1.6238088827057997
"United States","2021-09",1.6508020543720852
"China","2021-09",4.617271715555267
"United Kingdom","2021-09",2.2944935172011602
"Japan","2021-09",1.0697156293395205
"United States","2021-10",1.6318872271845106
"Japan","2021-10",1.0615373869311635
"United Kingdom","2021-10",2.0524386777546977
"China","2021-10",4.563493654242397
"United States","2021-11",1.6315007224469336
"China","2021-11",4.5150806547501094
"United Kingdom","2021-11",1.8197440677340546
"Japan","2021-11",1.0629759853243648
"United Kingdom","2021-12",1.653264839382825
"United States","2021-12",1.6142189068981085
"China","2021-12",4.45001640343066
"Japan","2021-12",1.0629657566640867
"United Kingdom","2022-01",1.295794512879536
"United States","2022-01",1.5159001748981267
"China","2022-01",4.307601605430042
"Japan","2022-01",1.0605480507319414
"United Kingdom","2022-02",1.0499596334058987
"United States","2022-02",1.209469805878755
"China","2022-02",4.087281384225962
"Japan","2022-02",0.671314989061027
"United Kingdom","2022-03",0.98964159297605
"China","2022-03",1.7570598333247458
"Japan","2022-03",0.47082177738180864
"United States","2022-03",1.228711359271649
"United Kingdom","2022-04",0.9064617543277328
"United States","2022-04",1.2314548737714603
"China","2022-04",1.514017136677481
"Japan","2022-04",0.42685466839749675
"United Kingdom","2022-05",0.8954963406704227
"China","2022-05",1.3770078547059714
"Japan","2022-05",0.37460454296436074
"United States","2022-05",1.2268107961096393
"China","2022-06",0.546437185787356
"Japan","2022-06",0.34547174819208604
"United Kingdom","2022-06",0.894973332259281
"United States","2022-06",1.1988980120172517
"China","2022-07",0.44525894928875087
"United Kingdom","2022-07",0.8839982094346862
"Japan","2022-07",0.33463260927791016
"United States","2022-07",1.167064256317744
